raceId,driverId,year,race,circuit,grid,position,constructor,overtake,circuit_type
989,20,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,3,1,Ferrari,2,permanent
989,1,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,1,2,Mercedes,-1,permanent
989,8,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,2,3,Ferrari,-1,permanent
989,817,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,8,4,Red Bull,4,permanent
989,4,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,10,5,McLaren,5,permanent
989,830,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,4,6,Red Bull,-2,permanent
989,807,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,7,7,Renault,0,permanent
989,822,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,15,8,Mercedes,7,permanent
989,838,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,11,9,McLaren,2,permanent
989,832,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,9,10,Renault,-1,permanent
989,815,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,12,11,Force India,1,permanent
989,839,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,14,12,Force India,2,permanent
989,844,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,18,13,Sauber,5,permanent
989,840,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,13,14,Williams,-1,permanent
989,843,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,16,15,Toro Rosso,1,permanent
989,154,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,6,16,Haas F1 Team,-10,permanent
989,825,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,5,17,Haas F1 Team,-12,permanent
989,842,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,20,18,Toro Rosso,2,permanent
989,828,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,17,19,Sauber,-2,permanent
989,845,2018,Australian Grand Prix,Albert Park Grand Prix Circuit,19,20,Williams,-1,permanent
990,20,2018,Bahrain Grand Prix,Bahrain International Circuit,1,1,Ferrari,0,permanent
990,822,2018,Bahrain Grand Prix,Bahrain International Circuit,3,2,Mercedes,1,permanent
990,1,2018,Bahrain Grand Prix,Bahrain International Circuit,9,3,Mercedes,6,permanent
990,842,2018,Bahrain Grand Prix,Bahrain International Circuit,5,4,Toro Rosso,1,permanent
990,825,2018,Bahrain Grand Prix,Bahrain International Circuit,6,5,Haas F1 Team,1,permanent
990,807,2018,Bahrain Grand Prix,Bahrain International Circuit,7,6,Renault,1,permanent
990,4,2018,Bahrain Grand Prix,Bahrain International Circuit,13,7,McLaren,6,permanent
990,838,2018,Bahrain Grand Prix,Bahrain International Circuit,14,8,McLaren,6,permanent
990,828,2018,Bahrain Grand Prix,Bahrain International Circuit,17,9,Sauber,8,permanent
990,839,2018,Bahrain Grand Prix,Bahrain International Circuit,8,10,Force India,-2,permanent
990,832,2018,Bahrain Grand Prix,Bahrain International Circuit,10,11,Renault,-1,permanent
990,844,2018,Bahrain Grand Prix,Bahrain International Circuit,19,12,Sauber,7,permanent
990,154,2018,Bahrain Grand Prix,Bahrain International Circuit,16,13,Haas F1 Team,3,permanent
990,840,2018,Bahrain Grand Prix,Bahrain International Circuit,20,14,Williams,6,permanent
990,845,2018,Bahrain Grand Prix,Bahrain International Circuit,18,15,Williams,3,permanent
990,815,2018,Bahrain Grand Prix,Bahrain International Circuit,12,16,Force India,-4,permanent
990,843,2018,Bahrain Grand Prix,Bahrain International Circuit,11,17,Toro Rosso,-6,permanent
990,8,2018,Bahrain Grand Prix,Bahrain International Circuit,2,18,Ferrari,-16,permanent
990,830,2018,Bahrain Grand Prix,Bahrain International Circuit,15,19,Red Bull,-4,permanent
990,817,2018,Bahrain Grand Prix,Bahrain International Circuit,4,20,Red Bull,-16,permanent
991,817,2018,Chinese Grand Prix,Shanghai International Circuit,6,1,Red Bull,5,permanent
991,822,2018,Chinese Grand Prix,Shanghai International Circuit,3,2,Mercedes,1,permanent
991,8,2018,Chinese Grand Prix,Shanghai International Circuit,2,3,Ferrari,-1,permanent
991,1,2018,Chinese Grand Prix,Shanghai International Circuit,4,4,Mercedes,0,permanent
991,830,2018,Chinese Grand Prix,Shanghai International Circuit,5,5,Red Bull,0,permanent
991,807,2018,Chinese Grand Prix,Shanghai International Circuit,7,6,Renault,1,permanent
991,4,2018,Chinese Grand Prix,Shanghai International Circuit,13,7,McLaren,6,permanent
991,20,2018,Chinese Grand Prix,Shanghai International Circuit,1,8,Ferrari,-7,permanent
991,832,2018,Chinese Grand Prix,Shanghai International Circuit,9,9,Renault,0,permanent
